tokenizer,language,sentences,tokens_per_sentence,tokens_per_whitespace_word,tokens_per_grapheme,tokens_per_utf8_byte,mean_per_sentence_tok_per_word
gpt2,eng_Latn,200,27.23,1.2422445255474452,0.20348989276239585,0.20336071695294997,1.2616751551884675
gpt2,hin_Deva,200,202.325,7.826885880077369,2.322771367889329,0.5940688541437276,7.879287223662244
gpt2,kan_Knda,200,372.095,22.2013723150358,4.035518681199501,0.9773583914476708,22.427707221034247
gpt2,tam_Taml,200,426.235,24.63074255995377,4.1839018404907975,0.9948302018905356,24.701954018923807
hf:FacebookAI/xlm-roberta-base,eng_Latn,200,31.045,1.416286496350365,0.23199940215969808,0.2318521284540702,1.4387367802415156
hf:FacebookAI/xlm-roberta-base,hin_Deva,200,38.985,1.5081237911025145,0.44756328568968484,0.11446817881523894,1.5273180853481076
hf:FacebookAI/xlm-roberta-base,kan_Knda,200,42.045,2.5086515513126493,0.45599479420855704,0.11043694101887239,2.551363697267955
hf:FacebookAI/xlm-roberta-base,tam_Taml,200,42.59,2.461138399306559,0.41806134969325154,0.09940483136888785,2.4717499218012815
